date,word,frequency
05/03/00,debate,11
05/03/00,defense,27
05/03/00,print,5
05/03/00,judge,19
05/03/00,planet,1
05/03/00,game,76
05/03/00,lazio,0
05/03/00,convention,31
05/03/00,china,1
05/03/00,clancy,0
05/03/00,voter,13
05/03/00,cardenas,0
05/03/00,fund,42
05/03/00,party,49
05/03/00,river,24
05/03/00,gore,0
05/03/00,doughnut,1
05/03/00,campaign,78
05/03/00,plan,184
05/03/00,tire,52
05/03/00,mccain,0
05/03/00,carbon,0
05/03/00,speech,29
05/03/00,pressman,0
05/03/00,bush,5
05/03/00,tax,51
05/03/00,cut,279
05/03/00,bill,152
05/03/00,delegate,9
05/03/00,knicks,0
05/03/00,lieberman,0
05/03/00,statue,0
05/03/00,teacher,45
05/03/00,mets,0
05/03/00,cheney,0
05/03/00,clinton,0
05/03/00,school,234
05/03/00,airline,8
05/03/00,oil,62
05/03/00,immigrant,6
05/03/00,drug,76
05/03/00,israel,0
05/03/00,euro,45
05/03/00,stock,35
05/03/00,deng,0
05/03/00,missile,11
05/03/00,lehrer,0
05/03/00,jones,0
05/03/00,company,179
05/03/00,walker,0
05/04/00,debate,9
05/04/00,defense,50
05/04/00,print,77
05/04/00,judge,29
05/04/00,planet,2
05/04/00,game,148
05/04/00,lazio,0
05/04/00,convention,10
05/04/00,china,1
05/04/00,clancy,0
05/04/00,voter,19
05/04/00,cardenas,0
05/04/00,fund,57
05/04/00,party,39
05/04/00,river,42
05/04/00,gore,0
05/04/00,doughnut,0
05/04/00,campaign,73
05/04/00,plan,212
05/04/00,tire,60
05/04/00,mccain,0
05/04/00,carbon,0
05/04/00,speech,18
05/04/00,pressman,0
05/04/00,bush,6
05/04/00,tax,60
05/04/00,cut,184
05/04/00,bill,80
05/04/00,delegate,3
05/04/00,knicks,0
05/04/00,lieberman,0
05/04/00,statue,0
05/04/00,teacher,35
05/04/00,mets,3
05/04/00,cheney,0
05/04/00,clinton,0
05/04/00,school,132
05/04/00,airline,6
05/04/00,oil,24
05/04/00,immigrant,7
05/04/00,drug,41
05/04/00,israel,0
05/04/00,euro,44
05/04/00,stock,76
05/04/00,deng,0
05/04/00,missile,24
05/04/00,lehrer,0
05/04/00,jones,0
05/04/00,company,140
05/04/00,walker,0
05/05/00,debate,16
05/05/00,defense,23
05/05/00,print,32
05/05/00,judge,8
05/05/00,planet,1
05/05/00,game,126
05/05/00,lazio,0
05/05/00,convention,8
05/05/00,china,0
05/05/00,clancy,0
05/05/00,voter,24
05/05/00,cardenas,0
05/05/00,fund,48
05/05/00,party,40
05/05/00,river,16
05/05/00,gore,3
05/05/00,doughnut,1
05/05/00,campaign,78
05/05/00,plan,148
05/05/00,tire,109
05/05/00,mccain,0
05/05/00,carbon,3
05/05/00,speech,30
05/05/00,pressman,0
05/05/00,bush,4
05/05/00,tax,65
05/05/00,cut,193
05/05/00,bill,103
05/05/00,delegate,5
05/05/00,knicks,0
05/05/00,lieberman,0
05/05/00,statue,5
05/05/00,teacher,26
05/05/00,mets,1
05/05/00,cheney,0
05/05/00,clinton,0
05/05/00,school,162
05/05/00,airline,3
05/05/00,oil,22
05/05/00,immigrant,21
05/05/00,drug,23
05/05/00,israel,0
05/05/00,euro,8
05/05/00,stock,77
05/05/00,deng,0
05/05/00,missile,4
05/05/00,lehrer,0
05/05/00,jones,0
05/05/00,company,161
05/05/00,walker,2
05/02/00,debate,21
05/02/00,defense,32
05/02/00,print,21
05/02/00,judge,33
05/02/00,planet,3
05/02/00,game,91
05/02/00,lazio,0
05/02/00,convention,10
05/02/00,china,4
05/02/00,clancy,0
05/02/00,voter,4
05/02/00,cardenas,0
05/02/00,fund,35
05/02/00,party,30
05/02/00,river,36
05/02/00,gore,0
05/02/00,doughnut,1
05/02/00,campaign,35
05/02/00,plan,209
05/02/00,tire,46
05/02/00,mccain,0
05/02/00,carbon,4
05/02/00,speech,8
05/02/00,pressman,0
05/02/00,bush,2
05/02/00,tax,48
05/02/00,cut,203
05/02/00,bill,129
05/02/00,delegate,1
05/02/00,knicks,0
05/02/00,lieberman,0
05/02/00,statue,0
05/02/00,teacher,12
05/02/00,mets,0
05/02/00,cheney,0
05/02/00,clinton,0
05/02/00,school,44
05/02/00,airline,1
05/02/00,oil,20
05/02/00,immigrant,4
05/02/00,drug,27
05/02/00,israel,0
05/02/00,euro,25
05/02/00,stock,54
05/02/00,deng,0
05/02/00,missile,20
05/02/00,lehrer,0
05/02/00,jones,0
05/02/00,company,149
05/02/00,walker,1
05/20/00,debate,16
05/20/00,defense,18
05/20/00,print,2
05/20/00,judge,36
05/20/00,planet,2
05/20/00,game,114
05/20/00,lazio,0
05/20/00,convention,42
05/20/00,china,0
05/20/00,clancy,0
05/20/00,voter,7
05/20/00,cardenas,0
05/20/00,fund,23
05/20/00,party,54
05/20/00,river,6
05/20/00,gore,0
05/20/00,doughnut,0
05/20/00,campaign,88
05/20/00,plan,131
05/20/00,tire,47
05/20/00,mccain,0
05/20/00,carbon,0
05/20/00,speech,21
05/20/00,pressman,0
05/20/00,bush,6
05/20/00,tax,44
05/20/00,cut,120
05/20/00,bill,74
05/20/00,delegate,0
05/20/00,knicks,0
05/20/00,lieberman,0
05/20/00,statue,0
05/20/00,teacher,18
05/20/00,mets,0
05/20/00,cheney,0
05/20/00,clinton,0
05/20/00,school,103
05/20/00,airline,0
05/20/00,oil,24
05/20/00,immigrant,1
05/20/00,drug,29
05/20/00,israel,0
05/20/00,euro,8
05/20/00,stock,50
05/20/00,deng,0
05/20/00,missile,21
05/20/00,lehrer,0
05/20/00,jones,0
05/20/00,company,63
05/20/00,walker,0
05/18/00,debate,31
05/18/00,defense,13
05/18/00,print,47
05/18/00,judge,15
05/18/00,planet,3
05/18/00,game,202
05/18/00,lazio,0
05/18/00,convention,24
05/18/00,china,3
05/18/00,clancy,0
05/18/00,voter,29
05/18/00,cardenas,0
05/18/00,fund,82
05/18/00,party,59
05/18/00,river,9
05/18/00,gore,0
05/18/00,doughnut,0
05/18/00,campaign,77
05/18/00,plan,208
05/18/00,tire,65
05/18/00,mccain,0
05/18/00,carbon,0
05/18/00,speech,15
05/18/00,pressman,0
05/18/00,bush,5
05/18/00,tax,69
05/18/00,cut,222
05/18/00,bill,135
05/18/00,delegate,2
05/18/00,knicks,0
05/18/00,lieberman,0
05/18/00,statue,16
05/18/00,teacher,44
05/18/00,mets,0
05/18/00,cheney,0
05/18/00,clinton,0
05/18/00,school,200
05/18/00,airline,2
05/18/00,oil,21
05/18/00,immigrant,13
05/18/00,drug,51
05/18/00,israel,0
05/18/00,euro,3
05/18/00,stock,119
05/18/00,deng,0
05/18/00,missile,24
05/18/00,lehrer,0
05/18/00,jones,0
05/18/00,company,145
05/18/00,walker,0
05/27/00,debate,37
05/27/00,defense,9
05/27/00,print,7
05/27/00,judge,45
05/27/00,planet,0
05/27/00,game,133
05/27/00,lazio,0
05/27/00,convention,18
05/27/00,china,2
05/27/00,clancy,0
05/27/00,voter,15
05/27/00,cardenas,0
05/27/00,fund,36
05/27/00,party,58
05/27/00,river,19
05/27/00,gore,0
05/27/00,doughnut,0
05/27/00,campaign,95
05/27/00,plan,132
05/27/00,tire,33
05/27/00,mccain,0
05/27/00,carbon,1
05/27/00,speech,13
05/27/00,pressman,0
05/27/00,bush,1
05/27/00,tax,45
05/27/00,cut,120
05/27/00,bill,72
05/27/00,delegate,18
05/27/00,knicks,0
05/27/00,lieberman,0
05/27/00,statue,3
05/27/00,teacher,29
05/27/00,mets,0
05/27/00,cheney,0
05/27/00,clinton,0
05/27/00,school,68
05/27/00,airline,7
05/27/00,oil,8
05/27/00,immigrant,7
05/27/00,drug,40
05/27/00,israel,1
05/27/00,euro,13
05/27/00,stock,34
05/27/00,deng,0
05/27/00,missile,0
05/27/00,lehrer,0
05/27/00,jones,0
05/27/00,company,96
05/27/00,walker,0
05/11/00,debate,20
05/11/00,defense,54
05/11/00,print,39
05/11/00,judge,49
05/11/00,planet,0
05/11/00,game,81
05/11/00,lazio,0
05/11/00,convention,17
05/11/00,china,0
05/11/00,clancy,0
05/11/00,voter,19
05/11/00,cardenas,0
05/11/00,fund,41
05/11/00,party,29
05/11/00,river,16
05/11/00,gore,0
05/11/00,doughnut,0
05/11/00,campaign,45
05/11/00,plan,218
05/11/00,tire,49
05/11/00,mccain,0
05/11/00,carbon,0
05/11/00,speech,17
05/11/00,pressman,0
05/11/00,bush,1
05/11/00,tax,90
05/11/00,cut,216
05/11/00,bill,202
05/11/00,delegate,1
05/11/00,knicks,0
05/11/00,lieberman,0
05/11/00,statue,3
05/11/00,teacher,9
05/11/00,mets,2
05/11/00,cheney,0
05/11/00,clinton,0
05/11/00,school,63
05/11/00,airline,5
05/11/00,oil,24
