date,topic,probability
05/01/00,magazine,0.0634985223282153
05/01/00,site,0.04396051545799521
05/01/00,teacher,0.0409694422403847
05/01/00,math,0.03907601374044018
05/01/00,web,0.03419151202288516
05/02/00,health,0.01908806674779851
05/02/00,stress,0.01622484860215928
05/02/00,professional,0.015593438434478466
05/02/00,government,0.014196742526889372
05/02/00,form,0.014196742526889372
05/03/00,poundcake,0.033174675378413745
05/03/00,fruit,0.028435436038640353
05/03/00,sugar,0.02815698219676907
05/03/00,butter,0.024780475193053684
05/03/00,strawberry,0.02369619669886696
05/04/00,enemy,0.026719532889046545
05/04/00,player,0.020873346374526588
05/04/00,game,0.019723871762119587
05/04/00,expert,0.012573897830139553
05/04/00,violence,0.012573897830139553
05/05/00,johnson,0.018796937722674177
05/05/00,show,0.009828519207477699
05/05/00,street,0.008779299349017894
05/05/00,museum,0.008661114632585214
05/05/00,hour,0.0077593572560243984
05/06/00,song,0.05660938355299201
05/06/00,heggie,0.04661949233775813
05/06/00,singer,0.03329963738411296
05/06/00,music,0.023309746168879066
05/06/00,composer,0.01997978243046777
05/07/00,story,0.03623141115148597
05/07/00,zuckerman,0.03129076417628334
05/07/00,writer,0.016468823250675443
05/07/00,trilogy,0.016468823250675443
05/07/00,work,0.013175058600540353
05/08/00,terrorism,0.05567943454616247
05/08/00,state,0.027034050541352668
05/08/00,teacher,0.0238626148054982
05/08/00,report,0.0238626148054982
05/08/00,east,0.0238626148054982
05/09/00,test,0.015292305027074309
05/09/00,equation,0.013922581394060234
05/09/00,baby,0.013902257856437646
05/09/00,anger,0.012512036578214284
05/09/00,abortion,0.011933641194908771
05/10/00,cork,0.026581627771334007
05/10/00,fry,0.025336037016256044
05/10/00,potato,0.021748604540182372
05/10/00,herb,0.019332092924606553
05/10/00,screwpull,0.019332092924606553
05/11/00,friedan,0.04778291767529608
05/11/00,woman,0.021837694037296865
05/11/00,accusation,0.014702436207783408
05/11/00,child,0.014702436207783408
05/11/00,life,0.01413027261236856
05/12/00,johnson,0.01049992730539054
05/12/00,gallery,0.009818355523782152
05/12/00,collection,0.007874945479042904
05/12/00,artist,0.007854684436984853
05/12/00,painting,0.007854684436984852
05/13/00,francis,0.05600988269505135
05/13/00,angel,0.04480790615604107
05/13/00,scene,0.028709431585364306
05/13/00,brooklyn,0.026137945257690625
05/13/00,opera,0.023489529991174686
05/14/00,yak,0.019841154010002797
05/14/00,trail,0.014005520477649032
05/14/00,phub,0.011671267064707528
05/14/00,foot,0.009153986220728024
05/14/00,angeles,0.008169886945295269
05/15/00,rate,0.05328938648614737
05/15/00,economy,0.044407822071789484
05/15/00,market,0.031085475450252635
05/15/00,reserve,0.031085475450252635
05/15/00,committee,0.026644693243073687
05/16/00,cybersex,0.044717399977128376
05/16/00,sex,0.034901385348002634
05/16/00,addiction,0.034901385348002634
05/16/00,addict,0.02835737559525214
05/16/00,internet,0.021813365842501646
05/17/00,tire,0.04148654002792223
05/17/00,name,0.015736273803807394
05/17/00,barrier,0.015076530215759604
05/17/00,strip,0.014379758904514978
05/17/00,impact,0.008388192694300403
05/18/00,garofalo,0.03454378406566317
05/18/00,markow,0.031886569906766
05/18/00,house,0.0222056479464468
05/18/00,suburb,0.018600499112280167
05/18/00,space,0.015943284953383
05/19/00,pasta,0.014581324601479212
05/19/00,yamamoto,0.010979557522629038
05/19/00,sauce,0.010744133916879419
05/19/00,dish,0.009881601770366134
05/19/00,card,0.009881601770366134
05/20/00,mccartney,0.0435469535085432
05/20/00,linda,0.03330061150653304
05/20/00,paul,0.03073902600603049
05/20/00,film,0.02305426950452287
05/20/00,story,0.017931098503517786
05/21/00,week,0.011155569366160198
05/21/00,operation,0.008534061644959722
05/21/00,memoir,0.0067106847431040164
05/21/00,judge,0.006400546233719792
05/21/00,witchcraft,0.006400546233719792
05/22/00,com,0.29537279241417463
05/22/00,congratulation,0.05801965565278431
05/22/00,sorry,0.026372570751265596
05/22/00,food,0.022120361994019757
05/22/00,brazil,0.021098056601012476
05/23/00,bird,0.048226956454764276
05/23/00,albatross,0.03444782603911734
05/23/00,magnet,0.03444782603911734
05/23/00,island,0.028893596539252872
05/23/00,bay,0.018372173887529247
05/24/00,office,0.012439090279163446
05/24/00,pizza,0.010884203994268015
05/24/00,call,0.010884203994268015
05/24/00,production,0.010884203994268015
05/24/00,dream,0.009781369859658377
05/25/00,news,0.0405100501143964
05/25/00,game,0.026050085302840434
05/25/00,newspaper,0.024306030068637845
05/25/00,joanna,0.016204020045758563
05/25/00,player,0.014723961258127203
05/26/00,gallery,0.013341830751077689
05/26/00,artist,0.01253323494806656
05/26/00,johnson,0.010268633143285633
05/26/00,clocktower,0.007732154064518418
05/26/00,art,0.007681114000105269
05/27/00,student,0.0382734916527684
05/27/00,movement,0.020412528881476478
05/27/00,work,0.020412528881476478
05/27/00,world,0.020412528881476478
05/27/00,activist,0.020412528881476478
05/28/00,goethe,0.028757171869352286
05/28/00,harrington,0.02530631124503001
05/28/00,kate,0.017254303121611372
05/28/00,worker,0.010352581872966825
05/28/00,boyle,0.009202294998192733
05/29/00,season,0.06359018713871646
05/29/00,player,0.04875247680634959
05/29/00,coach,0.042393458092476057
05/29/00,outlook,0.03603443937860383
05/29/00,team,0.03555810670406147
05/30/00,myth,0.046322482943378936
05/30/00,health,0.023743885809473005
05/30/00,source,0.021617158706910167
05/30/00,bacteria,0.015440827647792978
05/30/00,brain,0.015440827647792978
05/31/00,anchovy,0.04029010379967689
05/31/00,butter,0.03218465603149577
05/31/00,oil,0.021456437352293245
05/31/00,pasta,0.019185763714131852
05/31/00,steak,0.016092328015747885
06/01/00,service,0.06963117583570652
06/01/00,message,0.0498098454630505
06/01/00,user,0.04718827464920574
06/01/00,number,0.03848038662552533
06/01/00,messaging,0.03670199139382668
06/02/00,johnson,0.013882330943094056
06/02/00,gallery,0.013882330943094056
06/02/00,bloom,0.011986470077015206
06/02/00,june,0.01152864389349558
06/02/00,collection,0.00898268472788439
06/03/00,botton,0.03438243849776623
06/03/00,philosophy,0.03151723528961905
06/03/00,philosopher,0.03151723528961905
06/03/00,book,0.022029456582706494
06/03/00,thing,0.017191219248883116
06/04/00,daley,0.026944012510951885
06/04/00,mayor,0.013472006255475942
06/04/00,chicago,0.01250972009437052
06/04/00,food,0.008743919108604541
06/04/00,pharaoh,0.008660575449948821
06/05/00,ruiz,0.03478815073416587
06/05/00,cuban,0.027966944707858838
06/05/00,friend,0.027284824105228138
06/05/00,valdes,0.02523846229733602
06/05/00,cuba,0.023192100489443913
06/06/00,cancer,0.07811412014337596
06/06/00,eva,0.03905706007168798
06/06/00,pack,0.031733861308246486
06/06/00,doctor,0.029292795053765985
06/06/00,surgery,0.01952853003584399
06/07/00,video,0.01882736809813245
06/07/00,film,0.018003569917570753
06/07/00,crane,0.018003569917570753
06/07/00,movie,0.01788599969322583
06/07/00,delivery,0.01761753748068754
06/08/00,site,0.05161021010743363
06/08/00,ashley,0.04969872084419535
06/08/00,com,0.024986927583609698
06/08/00,schilder,0.017203403369144544
06/08/00,teenager,0.015291914105906261
06/09/00,ticket,0.011978247500527874
06/09/00,friday,0.011454135032691758
06/09/00,prince,0.011454135032691758
06/09/00,saturday,0.009785229438680544
06/09/00,thursday,0.008908771692093588
06/10/00,support,0.06612599848706344
06/10/00,toilet,0.04132874905441465
06/10/00,use,0.04132874905441465
06/10/00,subway,0.04132874905441465
06/10/00,gore,0.03306299924353172
06/11/00,diana,0.02392713188489882
06/11/00,kosovo,0.018942312742211566
06/11/00,balkan,0.01694838508513667
06/11/00,mosley,0.014954457428061766
06/11/00,hitler,0.01096660211391196
06/12/00,music,0.09009285982328342
06/12/00,ballet,0.085997729831316
06/12/00,city,0.05323668989557657
06/12/00,director,0.04914155990360914
06/12/00,quinn,0.04504642991164171
06/13/00,therapy,0.02380427992703494
06/13/00,breast,0.021260276989319694
06/13/00,cancer,0.01867012517230771
06/13/00,arm,0.01454705995541024
06/13/00,stroke,0.01109231844075308
06/14/00,cupcake,0.020554697807368027
06/14/00,ham,0.015986987183505844
06/14/00,sandwich,0.014367286135592712
06/14/00,vinegar,0.014367117213527613
06/14/00,cream,0.014330152798844134
06/15/00,signal,0.04016568341929317
06/15/00,receiver,0.04016568341929317
06/15/00,positioning,0.03780299615933475
06/15/00,system,0.036331845536034246
06/15/00,error,0.03307762163941791
06/16/00,gallery,0.014000816577039246
06/16/00,photograph,0.013063460915644837
06/16/00,johnson,0.013063460915644837
06/16/00,painting,0.012175677343807357
06/16/00,art,0.011784227868480785
06/17/00,lerner,0.020019350549579575
06/17/00,interpreter,0.01574210866241566
06/17/00,lead,0.01501451291218468
06/17/00,club,0.01501451291218468
06/17/00,jacob,0.01501451291218468
06/18/00,bee,0.01956073175166516
06/18/00,season,0.011513570321917554
06/18/00,goldberg,0.011324634172016672
06/18/00,schuster,0.008236097579648488
06/18/00,random,0.008236097579648488
06/19/00,stock,0.034580265225243864
06/19/00,newspaper,0.0242061856576707
06/19/00,defense,0.021757371502788534
06/19/00,sale,0.020748159135146313
06/19/00,republic,0.017290132612621932
06/20/00,disorder,0.05771710572255023
06/20/00,attention,0.03287172287837994
06/20/00,hyperactivity,0.02778971757011678
06/20/00,deficit,0.02390668185905386
06/20/00,house,0.01923903524085008
06/21/00,nicholson,0.02232034644726615
06/21/00,restaurant,0.01750625211686243
06/21/00,buco,0.01594310460519011
06/21/00,style,0.013372502274023196
06/21/00,clam,0.011160173223633075
06/22/00,slave,0.02663390171146544
06/22/00,plantation,0.017755934474310293
06/22/00,park,0.017729807994998188
06/22/00,cabin,0.016487653440430988
06/22/00,slavery,0.016487653440430988
06/23/00,los,0.018354207646883124
06/23/00,angeles,0.017519925481115712
06/23/00,roche,0.008342821657674148
06/23/00,hollywood,0.006674257326139319
06/23/00,hall,0.006414520299263042
06/24/00,dennis,0.020148170748046576
06/24/00,play,0.020148170748046576
06/24/00,gay,0.017269860641182782
06/24/00,restoration,0.014391550534318984
06/24/00,unity,0.014391550534318984
06/25/00,pill,0.027260033012179732
06/25/00,pincus,0.011375084727519956
06/25/00,midwife,0.009750072623588535
06/25/00,birth,0.009699859899086873
06/25/00,decherney,0.008125060519657114
06/26/00,russia,0.0462316401765807
06/26/00,putin,0.032362148123606486
06/26/00,oligarch,0.02311582008829035
06/26/00,home,0.018492656070632277
06/26/00,russian,0.018492656070632277
06/27/00,venter,0.041541985637649666
06/27/00,test,0.03157190908461375
06/27/00,genome,0.026934562445068394
06/27/00,gene,0.019114850767467894
06/27/00,machine,0.014955114829553879
06/28/00,fish,0.017809707301875796
06/28/00,lawyer,0.017809707301875796
06/28/00,appetizer,0.013851994568125617
06/28/00,guy,0.013831612434890976
06/28/00,server,0.01187313820125053
06/29/00,art,0.02391740958603447
06/29/00,center,0.018637410937908647
06/29/00,rockefeller,0.01853479182970212
06/29/00,tax,0.01853479182970212
06/29/00,broker,0.01853479182970212
06/30/00,cowen,0.09394385902648547
06/30/00,judy,0.05284342070239807
06/30/00,angelo,0.03522894713493205
06/30/00,levy,0.023485964756621368
06/30/00,arthur,0.023485964756621368
07/01/00,patriotism,0.059470449978550916
07/01/00,right,0.021625618174018514
07/01/00,podhoretz,0.019823483326183635
07/01/00,war,0.018021348478348763
07/01/00,flag,0.014417078782679008
07/02/00,clott,0.07334268827086879
07/02/00,george,0.0471488710312728
07/02/00,home,0.02929390844568804
07/02/00,chack,0.0209550537916768
07/02/00,stamford,0.0209550537916768
07/03/00,grocery,0.04630979849625508
07/03/00,shopping,0.02572766583125282
07/03/00,online,0.020582132665002258
07/03/00,delivery,0.018009366081876973
07/03/00,company,0.014386222932440445
07/04/00,specie,0.018527749141388605
07/04/00,ecosystem,0.016469110411792363
07/04/00,hike,0.01472623138078196
07/04/00,collapse,0.01472623138078196
07/04/00,metaphor,0.01472623138078196
07/05/00,dessert,0.03316712794097011
07/05/00,cream,0.03079804737375796
07/05/00,pie,0.026059886239333658
07/05/00,cup,0.026059886239333658
07/05/00,fruit,0.02132172510490936
07/06/00,device,0.048394456256086404
07/06/00,location,0.02534947708652145
07/06/00,parkwatch,0.023044979169564953
07/06/00,parent,0.023044979169564953
07/06/00,park,0.020940073947096557
07/07/00,museum,0.014639766586463676
07/07/00,johnson,0.01031519883076236
07/07/00,painting,0.010300020816378371
07/07/00,admission,0.01001668240635225
07/07/00,art,0.009980925917807413
07/08/00,war,0.044200910943023995
07/08/00,crime,0.038872742942511015
07/08/00,trial,0.026694874451778438
07/08/00,people,0.01395818159947805
07/08/00,conflict,0.013347437225889219
07/09/00,ham,0.024105122095632026
07/09/00,madrid,0.01643531051974911
07/09/00,larry,0.013148248415799287
07/09/00,jamon,0.010956873679832741
07/09/00,fantasy,0.00995608385629159
07/10/00,death,0.05794455140795161
07/10/00,case,0.046907493996913206
